#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,height,weight,base_experience,sprites
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,1,False,7,69,64,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/bulbasaur.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/bulbasaur.gif'}"
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,1,False,10,130,142,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/ivysaur.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/ivysaur.gif'}"
3,Venusaur,Grass,Poison,80,82,83,100,100,80,1,False,20,1000,236,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/venusaur.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/venusaur.gif'}"
5,Charmander,Fire,Normal,39,52,43,60,50,65,1,False,6,85,62,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/charmander.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/charmander.gif'}"
6,Charmeleon,Fire,Normal,58,64,58,80,65,80,1,False,11,190,142,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/charmeleon.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/charmeleon.gif'}"
7,Charizard,Fire,Flying,78,84,78,109,85,100,1,False,17,905,240,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/charizard.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/charizard.gif'}"
10,Squirtle,Water,Normal,44,48,65,50,64,43,1,False,5,90,63,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/squirtle.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/squirtle.gif'}"
11,Wartortle,Water,Normal,59,63,80,65,80,58,1,False,10,225,142,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/wartortle.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/wartortle.gif'}"
12,Blastoise,Water,Normal,79,83,100,85,105,78,1,False,16,855,239,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/blastoise.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/blastoise.gif'}"
14,Caterpie,Bug,Normal,45,30,35,20,20,45,1,False,3,29,39,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/caterpie.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/caterpie.gif'}"
15,Metapod,Bug,Normal,50,20,55,25,25,30,1,False,7,99,72,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/metapod.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/metapod.gif'}"
16,Butterfree,Bug,Flying,60,45,50,90,80,70,1,False,11,320,178,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/butterfree.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/butterfree.gif'}"
17,Weedle,Bug,Poison,40,35,30,20,20,50,1,False,3,32,39,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/weedle.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/weedle.gif'}"
18,Kakuna,Bug,Poison,45,25,50,25,25,35,1,False,6,100,72,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/kakuna.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/kakuna.gif'}"
19,Beedrill,Bug,Poison,65,90,40,45,80,75,1,False,10,295,178,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/beedrill.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/beedrill.gif'}"
21,Pidgey,Normal,Flying,40,45,40,35,35,56,1,False,3,18,50,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/pidgey.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/pidgey.gif'}"
22,Pidgeotto,Normal,Flying,63,60,55,50,50,71,1,False,11,300,122,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/pidgeotto.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/pidgeotto.gif'}"
23,Pidgeot,Normal,Flying,83,80,75,70,70,101,1,False,15,395,216,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/pidgeot.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/pidgeot.gif'}"
25,Rattata,Normal,Normal,30,56,35,25,35,72,1,False,3,35,51,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/rattata.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/rattata.gif'}"
26,Raticate,Normal,Normal,55,81,60,50,70,97,1,False,7,185,145,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/raticate.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/raticate.gif'}"
27,Spearow,Normal,Flying,40,60,30,31,31,70,1,False,3,20,52,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/spearow.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/spearow.gif'}"
28,Fearow,Normal,Flying,65,90,65,61,61,100,1,False,12,380,155,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/fearow.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/fearow.gif'}"
